"","ID","sex","class","motor","transport","timetravel","walkdist","streetpark","convenience","shuttle","wait4shuttle","pay4shuttle","pay4shuttle_num","wait4shuttle_num"
"149",2244,"Male","Staff","yes","Auto",46,"1/2 - 1 mile","never","very good","Yes","will not ride","$1 ",1,NA
"150",2247,"Male","Faculty","yes","Auto",49,"1+ miles","always","fair","Yes","2","$0.50 ",0.5,2
"151",2253,"Female","Staff","yes","Auto",54,"1/4 - 1/2 mile","never","very good","Yes","9","$0.50 ",0.5,9
"152",2256,"Female","Staff","yes","Auto",40,"<1/4 mile","never","poor","Maybe","11","$0 ",0,11
"153",2260,"Female","Staff","yes","Bicycle",51,"1/2 - 1 mile","always","fair","Maybe","3","$0.50 ",0.5,3
"154",2264,"Male","Staff","yes","Auto",52,"1/4 - 1/2 mile","never","poor","Yes","15","$1 ",1,15
"155",2274,"Male","Staff","yes","Auto",48,"1/4 - 1/2 mile","never","fair","Maybe","10","$0 ",0,10
"156",2276,"Female","Staff","yes","Auto",51,"<1/4 mile","never","fair","No","will not ride","will not ride",NA,NA
"157",2279,"Female","Staff","yes","Auto",45,"1/4 - 1/2 mile","never","fair","Maybe","15","$1 ",1,15
"158",2290,"Male","Faculty","yes","Auto",54,"1/2 - 1 mile","sometimes","good","Yes","10","$0.50 ",0.5,10
"159",2301,"Female","Staff","yes","Auto",52,"<1/4 mile","never","very poor","Maybe","10","$0.50 ",0.5,10
"160",2313,"Male","Staff","yes","Auto",46,"<1/4 mile","never","fair","Maybe","will not ride","$0 ",0,NA
"161",2323,"Female","Staff","yes","Auto",52,"<1/4 mile","never","very poor","Yes","9","$0.50 ",0.5,9
"162",2327,"Female","Faculty","yes","Auto",61,"1/4 - 1/2 mile","never","good","Yes","10","$0 ",0,10
"163",2335,"Female","Faculty","yes","Auto",40,"1/2 - 1 mile","never","good","Yes","9","$1 ",1,9
"164",2344,"Female","Faculty","yes","Auto",46,"<1/4 mile","always","fair","Yes","3","$0 ",0,3
"165",2352,"Male","Faculty","yes","Auto",60,"<1/4 mile","never","very good","Yes","12","$0.50 ",0.5,12
"166",2361,"Female","Staff","yes","Auto",51,"1/2 - 1 mile","sometimes","fair","Maybe","8","$0 ",0,8
"167",2362,"Male","Staff","yes","Auto",43,"1/2 - 1 mile","never","good","Yes","11","$0.50 ",0.5,11
"168",2364,"Female","Staff","yes","Auto",45,"1/2 - 1 mile","sometimes","good","Yes","7","$0.50 ",0.5,7
"169",2367,"Female","Staff","yes","Walk",59,"<1/4 mile","never","very good","Maybe","8","$0.50 ",0.5,8
"170",2377,"Female","Staff","yes","Walk",49,"1/4 - 1/2 mile","sometimes","very poor","Maybe","3","$0.50 ",0.5,3
"171",2381,"Female","Faculty","yes","Bicycle",45,"1/2 - 1 mile","sometimes","poor","Yes","13","$1 ",1,13
"172",2382,"Male","Staff","yes","Auto",53,"1/4 - 1/2 mile","never","good","No","1","$0 ",0,1
"173",2402,"Female","Staff","yes","Bicycle",52,"1/4 - 1/2 mile","never","very good","Yes","10","$1 ",1,10
"174",2418,"Female","Staff","yes","Bicycle",48,"1/4 - 1/2 mile","sometimes","poor","Yes","8","$3 ",3,8
"175",2438,"Male","Staff","yes","Auto",60,"<1/4 mile","never","fair","Yes","5","$0 ",0,5
"176",2447,"Female","Staff","yes","Auto",45,"1/4 - 1/2 mile","never","good","Maybe","6","$0.50 ",0.5,6
"177",2448,"Male","Staff","yes","Auto",61,"1/2 - 1 mile","sometimes","poor","Yes","13","$1 ",1,13
"178",2449,"Female","Staff","yes","Auto",51,"<1/4 mile","never","very good","Yes","6","$1 ",1,6
"179",2450,"Female","Faculty","yes","Auto",56,"1/4 - 1/2 mile","never","very poor","Yes","3","$0 ",0,3
"180",2452,"Male","Faculty","yes","Bicycle",61,"1/4 - 1/2 mile","never","very good","Maybe","2","$0 ",0,2
"181",2458,"Male","Staff","yes","Auto",52,"1/2 - 1 mile","never","fair","Yes","7","$0.50 ",0.5,7
"182",2461,"Male","Faculty","yes","Auto",42,"1/2 - 1 mile","never","good","Yes","9","$0 ",0,9
"183",2468,"Male","Faculty","yes","Auto",61,"1/2 - 1 mile","never","very good","Maybe","10","$0.50 ",0.5,10
"184",2477,"Female","Staff","yes","Auto",44,"1/4 - 1/2 mile","never","fair","Yes","7","$1 ",1,7
"185",2495,"Male","Faculty","yes","Auto",40,"1+ miles","sometimes","very good","Yes","10","$1 ",1,10
"186",2515,"Male","Faculty","yes","Auto",61,"1/4 - 1/2 mile","never","good","Yes","17","$1 ",1,17
"187",2518,"Male","Faculty","yes","Bicycle",49,"1/2 - 1 mile","never","good","Yes","14","$0.50 ",0.5,14
"188",2526,"Male","Staff","yes","Walk",45,"1/4 - 1/2 mile","sometimes","fair","Yes","0","$0.50 ",0.5,0
